SYF	1.1744	27.80	2017-05-01 20:01:00 UTC+0000	27.94	0.503597122302%
STX	1.0834	42.13	2017-05-01 20:00:00 UTC+0000	42.18	0.118680275338%
AAL	1.0688	42.62	2017-05-01 20:00:00 UTC+0000	42.08	-1.26701079305%
EQT	1.0659	58.14	2017-05-01 20:01:00 UTC+0000	58.11	-0.0515995872033%
HST	1.0617	17.95	2017-05-01 20:02:00 UTC+0000	18.05	0.557103064067%
TDC	1.0598	29.18	2017-05-01 20:02:00 UTC+0000	29.04	-0.479780671693%
ORLY	1.0585	248.15	2017-05-01 20:00:00 UTC+0000	241.70	-2.59923433407%
PSA	1.0567	209.38	2017-05-01 20:01:00 UTC+0000	207.23	-1.02684115006%
HP	1.0563	60.64	2017-05-01 20:01:00 UTC+0000	58.79	-3.05079155673%
DFS	1.05	62.59	2017-05-01 20:01:00 UTC+0000	61.97	-0.990573574053%
FTI	1.0463	30.13	2017-05-01 20:03:00 UTC+0000	30.06	-0.232326584799%
ADS	1.0462	249.63	2017-05-01 20:03:00 UTC+0000	253.48	1.54228257822%
KIM	1.0462	20.29	2017-05-01 20:05:00 UTC+0000	20.43	0.689995071464%
R	1.0449	67.91	2017-05-01 20:02:00 UTC+0000	68.07	0.23560594905%
NBL	1.0443	32.33	2017-05-01 20:01:00 UTC+0000	32.30	-0.0927930714507%
FFIV	1.0436	129.13	2017-05-01 20:00:00 UTC+0000	127.40	-1.33973515062%
QRVO	1.0434	68.03	2017-05-01 20:00:00 UTC+0000	68.61	0.852565044833%
COF	1.0419	80.38	2017-05-01 20:01:00 UTC+0000	81.57	1.48046777805%
ALK	1.0417	85.09	2017-05-01 20:02:00 UTC+0000	84.42	-0.787401574803%
TSCO	1.0401	61.91	2017-05-01 20:00:00 UTC+0000	61.40	-0.823776449685%
SWKS	1.0398	99.74	2017-05-01 20:00:00 UTC+0000	99.81	0.0701824744335%
DPS	1.0396	91.65	2017-05-01 20:02:00 UTC+0000	90.88	-0.840152755046%
AN	1.0393	42.00	2017-05-01 20:02:00 UTC+0000	41.65	-0.833333333333%
COG	1.0391	23.24	2017-05-01 20:03:00 UTC+0000	23.80	2.40963855422%
VFC	1.0379	54.63	2017-05-01 20:00:00 UTC+0000	52.92	-3.13014827018%
RRC	1.0366	26.49	2017-05-01 20:03:00 UTC+0000	26.53	0.151000377501%
KLAC	1.0366	98.22	2017-05-01 20:00:00 UTC+0000	99.17	0.967216452861%
NAVI	1.0363	15.20	2017-05-01 20:00:00 UTC+0000	15.45	1.64473684211%
APC	1.0362	57.02	2017-05-01 20:00:00 UTC+0000	56.67	-0.613819712382%
IPG	1.0348	23.57	2017-05-01 20:01:00 UTC+0000	23.66	0.381841323717%
IRM	1.0346	34.76	2017-05-01 20:02:00 UTC+0000	35.19	1.23705408516%
EXR	1.0341	75.53	2017-05-01 20:01:00 UTC+0000	75.43	-0.132397722759%
CHRW	1.034	72.70	2017-05-01 20:00:00 UTC+0000	72.55	-0.206327372765%
BIIB	1.0334	271.21	2017-05-01 20:00:00 UTC+0000	271.03	-0.0663692341728%
