ADM	1.0741	41.67	2017-05-03 20:00:00 UTC+0000	41.31	-0.8639308855291516%
MOS	1.0689	24.95	2017-05-03 19:30:00 UTC+0000	23.62	-5.33066132264528%
NRG	1.0558	15.77	2017-05-03 20:02:00 UTC+0000	14.98	-5.009511731135063%
RIG	1.0455	10.42	2017-05-03 20:02:00 UTC+0000	10.76	3.262955854126681%
AN	1.043	40.28	2017-05-03 20:02:00 UTC+0000	40.41	0.3227408142998822%
SYF	1.0429	28.87	2017-05-03 20:00:00 UTC+0000	28.77	-0.3463803255975062%
AMG	1.04	154.79	2017-05-03 20:02:00 UTC+0000	155.31	0.33593901414821215%
F	1.0384	10.92	2017-05-03 19:59:00 UTC+0000	11.065	1.3278388278388231%
HP	1.0354	58.72	2017-05-03 20:01:00 UTC+0000	59.11	0.6641689373297011%
NBL	1.0332	31.42	2017-05-03 19:19:00 UTC+0000	30.235	-3.7714831317632203%
SNI	1.0321	71.87	2017-05-03 20:00:00 UTC+0000	68.40	-4.828161959092803%
EXPD	1.0308	54.04	2017-05-03 20:00:00 UTC+0000	54.08	0.07401924500369805%
HES	1.0306	47.01	2017-05-03 20:02:00 UTC+0000	46.87	-0.29780897681344065%
CVS	1.0298	79.00	2017-05-03 20:02:00 UTC+0000	79.70	0.8860759493670933%
NOV	1.0291	33.69	2017-05-03 20:01:00 UTC+0000	33.86	0.5046007717423695%
NWL	1.0284	45.97	2017-05-03 20:02:00 UTC+0000	45.48	-1.0659125516641277%
EXR	1.0284	73.54	2017-05-03 20:01:00 UTC+0000	72.83	-0.9654609736198139%
VFC	1.0269	53.47	2017-05-03 20:00:00 UTC+0000	53.47	0.0%
GM	1.0257	33.20	2017-05-03 20:01:00 UTC+0000	33.48	0.8433734939758963%
FE	1.0254	29.03	2017-05-03 19:55:00 UTC+0000	28.955	-0.25835342748881107%
DISCK	1.0233	27.21	2017-05-03 20:00:00 UTC+0000	26.19	-3.7486218302094754%
BWA	1.0219	40.88	2017-05-03 20:02:00 UTC+0000	41.00	0.29354207436398383%
DISCA	1.0214	27.96	2017-05-03 20:00:00 UTC+0000	26.78	-4.220314735336195%
PSA	1.0199	207.27	2017-05-03 20:01:00 UTC+0000	205.53	-0.8394847300622454%
ORLY	1.0196	245.82	2017-05-03 20:00:00 UTC+0000	246.94	0.4556179318200293%
ECL	1.0193	125.26	2017-05-03 20:02:00 UTC+0000	125.57	0.24748523072009032%
NFX	1.0186	34.02	2017-05-03 20:02:00 UTC+0000	35.53	4.438565549676654%
TDC	1.0183	29.12	2017-05-03 20:02:00 UTC+0000	29.11	-0.03434065934065922%
CLX	1.0179	130.09	2017-05-03 19:45:00 UTC+0000	131.26	0.8993773541394301%
KR	1.0177	28.82	2017-05-03 20:00:00 UTC+0000	29.40	2.012491325468413%
CL	1.0171	70.76	2017-05-03 20:01:00 UTC+0000	71.08	0.45223289994347216%
K	1.0165	69.03	2017-05-03 20:02:00 UTC+0000	68.94	-0.1303780964797996%
APC	1.0162	56.28	2017-05-03 19:21:00 UTC+0000	52.02	-7.569296375266521%
COP	1.016	46.70	2017-05-03 20:00:00 UTC+0000	47.08	0.8137044967879925%
